# === Core Web Framework ===
flask==3.1.1  # Web application framework
werkzeug>=3.0.0  # WSGI utilities and security functions

# === Core ML & AI Stack ===
numpy<2.0.0  # NumPy 1.x for compatibility with ML libraries
torch>=2.0.0  # PyTorch deep learning framework (required for sentence-transformers)
langchain==0.3.27  # AI application framework
langchain-community==0.3.27  # Community integrations for LangChain
langchain-ollama==0.3.6  # Ollama LLM integration
langchain-core>=0.3.72  # Core LangChain components (compatible with langchain 0.3.27)
faiss-cpu==1.11.0.post1  # Vector similarity search (CPU)
sentence-transformers==2.5.1  # High-quality sentence embeddings for semantic search

# === Document Processing ===
PyMuPDF==1.26.3  # Fast PDF processing library
PyPDF2>=3.0.1  # PDF text extraction and manipulation
pypdf>=3.17.0  # Modern PDF processing (PyPDF2 successor)
python-docx==1.2.0  # Microsoft Word document processing
unstructured==0.18.11  # Document parsing and text extraction

# === Database ===
psycopg2-binary==2.9.10  # PostgreSQL database adapter

# === System Utilities ===
psutil==6.1.0  # System and process monitoring
requests>=2.31.0  # HTTP library for API calls

# === Optional: Table Extraction (Heavy - install only if needed) ===
pandas==1.5.3  # Data manipulation and analysis
tabula-py==2.9.0  # PDF table extraction
camelot-py[cv]==0.11.0  # Advanced PDF table extraction
opencv-python==4.8.1.78  # Computer vision library
pytesseract==0.3.10  # OCR text recognition
Pillow==10.1.0  # Image processing library
openpyxl==3.1.2  # Excel file processing

# === Additional Utilities ===
# Note: These are typically included with Python standard library
# but listed here for completeness and potential version requirements
# xml.etree.ElementTree - XML processing (built-in)
# csv - CSV file handling (built-in)
# hashlib - Cryptographic hash functions (built-in)
# secrets - Cryptographically strong random numbers (built-in)
# re - Regular expressions (built-in)
# json - JSON encoding/decoding (built-in)
# datetime - Date and time handling (built-in)
# threading - Thread-based parallelism (built-in)
# time - Time-related functions (built-in)
# concurrent.futures - Asynchronous execution (built-in)
# uuid - UUID generation (built-in)
# io - Core tools for working with streams (built-in)
# pathlib - Object-oriented filesystem paths (built-in)
# inspect - Introspection utilities (built-in)
# subprocess - Subprocess management (built-in)
# platform - Access to underlying platform's identifying data (built-in)
# shutil - High-level file operations (built-in)
# random - Random number generation (built-in)

# =============================================================================
# LIBRARY DETAILED DESCRIPTIONS
# =============================================================================
#
# ┌─────────────────────────────────────────────────────────────────────────────┐
# │ FLASK (flask==3.1.1)                                                      │
# └─────────────────────────────────────────────────────────────────────────────┘
# Flask is a lightweight, micro web framework for Python that provides the core 
# web application functionality. A web framework is a software framework designed 
# to support the development of web applications, web services, and web APIs. 
# Flask follows the WSGI (Web Server Gateway Interface) standard, which is a 
# specification that describes how a web server communicates with web applications.
#
# HOW IT IS USED:
# Flask handles HTTP requests, manages routing (determining which function to 
# call based on the URL), manages user sessions, and serves HTML templates. 
# It provides decorators like @app.route() to define URL endpoints and methods 
# to handle different HTTP verbs (GET, POST, etc.).
#
# WHAT IT IS USED FOR IN THIS PROGRAM:
# Flask is the backbone of the FAQ Bot web interface. It manages user 
# authentication, handles document uploads, processes chat interactions, serves 
# the HTML templates, and provides REST API endpoints for the frontend to 
# communicate with the backend AI services.
#
# ───────────────────────────────────────────────────────────────────────────────
#
# ┌─────────────────────────────────────────────────────────────────────────────┐
# │ WERKZEUG (werkzeug>=3.0.0)                                               │
# └─────────────────────────────────────────────────────────────────────────────┘
# Werkzeug is a WSGI (Web Server Gateway Interface) utility library that Flask 
# depends on. WSGI is a specification that describes how a web server communicates 
# with web applications. Werkzeug provides essential web development tools including 
# secure filename handling, request/response objects, debugging utilities, and 
# various helper functions for web development.
#
# HOW IT IS USED:
# Werkzeug provides utility functions and classes that handle common web 
# development tasks. It includes tools for URL routing, request/response 
# processing, file handling, and security functions. The library is designed 
# to be lightweight and focused on providing the building blocks for web 
# applications.
#
# WHAT IT IS USED FOR IN THIS PROGRAM:
